ProductKey,OrderDate,ShipDate,CustomerKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt
346,9-Jan-2014,16-Jan-14,25861,4,SO43730,4,850,"1,912.15","3,399.99",272
314,9-Jan-2014,16-Jan-14,16629,9,SO43731,4,894.57,"2,171.29","3,578.27",286.26
350,9-Jan-2014,16-Jan-14,11025,9,SO43732,4,843.75,"1,898.09","3,374.99",270
312,9-Jan-2014,16-Jan-14,27577,1,SO43733,4,894.57,"2,171.29","3,578.27",286.26
312,10-Jan-2014,17-Jan-14,27604,1,SO43734,1,"3,578.27","2,171.29","3,578.27",286.26
310,10-Jan-2014,17-Jan-14,16522,9,SO43735,1,"3,578.27","2,171.29","3,578.27",286.26
346,10-Jan-2014,17-Jan-14,11002,9,SO43736,1,"3,399.99","1,912.15","3,399.99",272
311,11-Jan-2014,18-Jan-14,13261,8,SO43737,1,"3,578.27","2,171.29","3,578.27",286.26
312,11-Jan-2014,18-Jan-14,11606,7,SO43738,1,"3,578.27","2,171.29","3,578.27",286.26
310,11-Jan-2014,18-Jan-14,13563,10,SO43739,1,"3,578.27","2,171.29","3,578.27",286.26
312,11-Jan-2014,18-Jan-14,16527,9,SO43740,1,"3,578.27","2,171.29","3,578.27",286.26
310,12-Jan-2014,19-Jan-14,27671,1,SO43741,1,"3,578.27","2,171.29","3,578.27",286.26
314,12-Jan-2014,19-Jan-14,13576,10,SO43742,1,"3,578.27","2,171.29","3,578.27",286.26
347,12-Jan-2014,19-Jan-14,11007,9,SO43743,1,"3,399.99","1,912.15","3,399.99",272
313,12-Jan-2014,19-Jan-14,16631,9,SO43744,1,"3,578.27","2,171.29","3,578.27",286.26
311,13-Jan-2014,20-Jan-14,16514,9,SO43745,1,"3,578.27","2,171.29","3,578.27",286.26
312,13-Jan-2014,20-Jan-14,16616,9,SO43746,1,"3,578.27","2,171.29","3,578.27",286.26
314,14-Jan-2014,21-Jan-14,27623,4,SO43747,1,"3,578.27","2,171.29","3,578.27",286.26
313,14-Jan-2014,21-Jan-14,27625,1,SO43748,1,"3,578.27","2,171.29","3,578.27",286.26
314,14-Jan-2014,21-Jan-14,27636,1,SO43749,1,"3,578.27","2,171.29","3,578.27",286.26
311,14-Jan-2014,21-Jan-14,11591,7,SO43750,1,"3,578.27","2,171.29","3,578.27",286.26
313,14-Jan-2014,21-Jan-14,11592,7,SO43751,1,"3,578.27","2,171.29","3,578.27",286.26
311,14-Jan-2014,21-Jan-14,13265,8,SO43752,1,"3,578.27","2,171.29","3,578.27",286.26
310,14-Jan-2014,21-Jan-14,16482,9,SO43753,1,"3,578.27","2,171.29","3,578.27",286.26
312,15-Jan-2014,22-Jan-14,27617,1,SO43754,2,"1,789.14","2,171.29","3,578.27",286.26
311,15-Jan-2014,22-Jan-14,27670,4,SO43755,2,"1,789.14","2,171.29","3,578.27",286.26
332,15-Jan-2014,22-Jan-14,19941,10,SO43756,2,349.55,413.15,699.1,55.93
350,15-Jan-2014,22-Jan-14,11017,9,SO43757,2,"1,687.50","1,898.09","3,374.99",270
310,16-Jan-2014,23-Jan-14,27646,4,SO43758,4,894.57,"2,171.29","3,578.27",286.26
310,16-Jan-2014,23-Jan-14,13257,8,SO43759,4,894.57,"2,171.29","3,578.27",286.26
314,16-Jan-2014,23-Jan-14,16352,9,SO43760,4,894.57,"2,171.29","3,578.27",286.26
310,16-Jan-2014,23-Jan-14,16493,9,SO43761,4,894.57,"2,171.29","3,578.27",286.26
314,17-Jan-2014,24-Jan-14,27578,4,SO43762,1,"3,578.27","2,171.29","3,578.27",286.26
313,17-Jan-2014,24-Jan-14,16525,9,SO43763,1,"3,578.27","2,171.29","3,578.27",286.26
310,17-Jan-2014,24-Jan-14,16612,9,SO43764,1,"3,578.27","2,171.29","3,578.27",286.26
346,17-Jan-2014,24-Jan-14,11010,9,SO43765,1,"3,399.99","1,912.15","3,399.99",272
313,18-Jan-2014,25-Jan-14,16518,9,SO43766,1,"3,578.27","2,171.29","3,578.27",286.26
350,18-Jan-2014,25-Jan-14,11001,9,SO43767,1,"3,374.99","1,898.09","3,374.99",270
312,19-Jan-2014,26-Jan-14,27649,1,SO43768,1,"3,578.27","2,171.29","3,578.27",286.26
312,19-Jan-2014,26-Jan-14,21659,6,SO43769,1,"3,578.27","2,171.29","3,578.27",286.26
312,19-Jan-2014,26-Jan-14,27614,1,SO43770,1,"3,578.27","2,171.29","3,578.27",286.26
330,19-Jan-2014,26-Jan-14,14559,4,SO43771,1,699.1,413.15,699.1,55.93
312,19-Jan-2014,26-Jan-14,16524,9,SO43772,1,"3,578.27","2,171.29","3,578.27",286.26
314,19-Jan-2014,26-Jan-14,16526,9,SO43773,1,"3,578.27","2,171.29","3,578.27",286.26
313,19-Jan-2014,26-Jan-14,16348,9,SO43774,1,"3,578.27","2,171.29","3,578.27",286.26
347,19-Jan-2014,26-Jan-14,11027,9,SO43775,1,"3,399.99","1,912.15","3,399.99",272
314,20-Jan-2014,27-Jan-14,13260,8,SO43776,1,"3,578.27","2,171.29","3,578.27",286.26
311,20-Jan-2014,27-Jan-14,16515,9,SO43777,1,"3,578.27","2,171.29","3,578.27",286.26
345,20-Jan-2014,27-Jan-14,11018,9,SO43778,1,"3,399.99","1,912.15","3,399.99",272
326,20-Jan-2014,27-Jan-14,25252,9,SO43779,1,699.1,413.15,699.1,55.93
311,21-Jan-2014,28-Jan-14,11599,7,SO43780,1,"3,578.27","2,171.29","3,578.27",286.26
312,21-Jan-2014,28-Jan-14,16495,9,SO43781,1,"3,578.27","2,171.29","3,578.27",286.26
312,21-Jan-2014,28-Jan-14,16516,9,SO43782,1,"3,578.27","2,171.29","3,578.27",286.26
312,21-Jan-2014,28-Jan-14,16620,9,SO43783,1,"3,578.27","2,171.29","3,578.27",286.26
310,22-Jan-2014,29-Jan-14,27667,4,SO43784,2,"1,789.14","2,171.29","3,578.27",286.26
311,22-Jan-2014,29-Jan-14,11601,7,SO43785,2,"1,789.14","2,171.29","3,578.27",286.26
311,22-Jan-2014,29-Jan-14,11607,7,SO43786,2,"1,789.14","2,171.29","3,578.27",286.26
344,22-Jan-2014,29-Jan-14,29385,8,SO43787,2,"1,700.00","1,912.15","3,399.99",272
351,22-Jan-2014,29-Jan-14,11239,10,SO43788,2,"1,687.50","1,898.09","3,374.99",270
351,22-Jan-2014,29-Jan-14,25865,1,SO43789,2,"1,687.50","1,898.09","3,374.99",270
344,22-Jan-2014,29-Jan-14,25857,1,SO43790,2,"1,700.00","1,912.15","3,399.99",272
314,22-Jan-2014,29-Jan-14,16484,9,SO43791,2,"1,789.14","2,171.29","3,578.27",286.26
312,22-Jan-2014,29-Jan-14,16623,9,SO43792,2,"1,789.14","2,171.29","3,578.27",286.26
344,22-Jan-2014,29-Jan-14,11000,9,SO43793,2,"1,700.00","1,912.15","3,399.99",272
347,22-Jan-2014,29-Jan-14,11029,9,SO43794,2,"1,700.00","1,912.15","3,399.99",272
312,23-Jan-2014,30-Jan-14,27615,4,SO43795,4,894.57,"2,171.29","3,578.27",286.26
342,23-Jan-2014,30-Jan-14,17956,7,SO43796,4,174.77,413.15,699.1,55.93
312,23-Jan-2014,30-Jan-14,16345,9,SO43797,4,894.57,"2,171.29","3,578.27",286.26
310,23-Jan-2014,30-Jan-14,16521,9,SO43798,4,894.57,"2,171.29","3,578.27",286.26
312,23-Jan-2014,30-Jan-14,16636,9,SO43799,4,894.57,"2,171.29","3,578.27",286.26
311,24-Jan-2014,31-Jan-14,21710,6,SO43800,1,"3,578.27","2,171.29","3,578.27",286.26
311,24-Jan-2014,31-Jan-14,13583,10,SO43801,1,"3,578.27","2,171.29","3,578.27",286.26
312,24-Jan-2014,31-Jan-14,11593,7,SO43802,1,"3,578.27","2,171.29","3,578.27",286.26
314,25-Jan-2014,01-Feb-14,21741,6,SO43803,1,"3,578.27","2,171.29","3,578.27",286.26
310,25-Jan-2014,01-Feb-14,13585,10,SO43804,1,"3,578.27","2,171.29","3,578.27",286.26
328,25-Jan-2014,01-Feb-14,14510,1,SO43805,1,699.1,413.15,699.1,55.93
312,25-Jan-2014,01-Feb-14,16523,9,SO43806,1,"3,578.27","2,171.29","3,578.27",286.26
312,26-Jan-2014,02-Feb-14,11611,7,SO43807,1,"3,578.27","2,171.29","3,578.27",286.26
313,26-Jan-2014,02-Feb-14,13259,8,SO43808,1,"3,578.27","2,171.29","3,578.27",286.26
310,26-Jan-2014,02-Feb-14,16350,9,SO43809,1,"3,578.27","2,171.29","3,578.27",286.26
345,26-Jan-2014,02-Feb-14,11004,9,SO43810,1,"3,399.99","1,912.15","3,399.99",272
346,26-Jan-2014,02-Feb-14,11026,9,SO43811,1,"3,399.99","1,912.15","3,399.99",272
312,27-Jan-2014,03-Feb-14,27662,4,SO43812,1,"3,578.27","2,171.29","3,578.27",286.26
350,27-Jan-2014,03-Feb-14,28390,7,SO43813,1,"3,374.99","1,898.09","3,374.99",270
350,27-Jan-2014,03-Feb-14,25866,1,SO43814,1,"3,374.99","1,898.09","3,374.99",270
311,27-Jan-2014,03-Feb-14,16494,9,SO43815,1,"3,578.27","2,171.29","3,578.27",286.26
314,27-Jan-2014,03-Feb-14,16496,9,SO43816,1,"3,578.27","2,171.29","3,578.27",286.26
310,27-Jan-2014,03-Feb-14,16519,9,SO43817,1,"3,578.27","2,171.29","3,578.27",286.26
312,27-Jan-2014,03-Feb-14,16528,9,SO43818,1,"3,578.27","2,171.29","3,578.27",286.26
346,27-Jan-2014,03-Feb-14,11006,9,SO43819,1,"3,399.99","1,912.15","3,399.99",272
312,28-Jan-2014,04-Feb-14,27651,4,SO43820,1,"3,578.27","2,171.29","3,578.27",286.26
310,28-Jan-2014,04-Feb-14,27663,4,SO43821,1,"3,578.27","2,171.29","3,578.27",286.26
313,28-Jan-2014,04-Feb-14,27669,4,SO43822,1,"3,578.27","2,171.29","3,578.27",286.26
342,28-Jan-2014,04-Feb-14,19942,10,SO43823,1,699.1,413.15,699.1,55.93
338,28-Jan-2014,04-Feb-14,14558,1,SO43824,1,699.1,413.15,699.1,55.93
313,28-Jan-2014,04-Feb-14,16349,9,SO43825,1,"3,578.27","2,171.29","3,578.27",286.26
348,28-Jan-2014,04-Feb-14,11008,9,SO43826,1,"3,374.99","1,898.09","3,374.99",270
338,28-Jan-2014,04-Feb-14,25250,9,SO43827,1,699.1,413.15,699.1,55.93
310,29-Jan-2014,05-Feb-14,27605,1,SO43828,2,"1,789.14","2,171.29","3,578.27",286.26
310,29-Jan-2014,05-Feb-14,27611,4,SO43829,2,"1,789.14","2,171.29","3,578.27",286.26
311,29-Jan-2014,05-Feb-14,16347,9,SO43830,2,"1,789.14","2,171.29","3,578.27",286.26
349,29-Jan-2014,05-Feb-14,11028,9,SO43831,2,"1,687.50","1,898.09","3,374.99",270
310,29-Jan-2014,05-Feb-14,13584,10,SO43832,2,"1,789.14","2,171.29","3,578.27",286.26
310,30-Jan-2014,06-Feb-14,21727,6,SO43833,4,894.57,"2,171.29","3,578.27",286.26
348,30-Jan-2014,06-Feb-14,28393,7,SO43834,4,843.75,"1,898.09","3,374.99",270
348,30-Jan-2014,06-Feb-14,19802,6,SO43835,4,843.75,"1,898.09","3,374.99",270
324,30-Jan-2014,06-Feb-14,26620,6,SO43836,4,174.77,413.15,699.1,55.93
350,30-Jan-2014,06-Feb-14,11009,9,SO43837,4,843.75,"1,898.09","3,374.99",270
313,31-Jan-2014,07-Feb-14,27641,4,SO43838,1,"3,578.27","2,171.29","3,578.27",286.26
311,31-Jan-2014,07-Feb-14,27673,1,SO43839,1,"3,578.27","2,171.29","3,578.27",286.26
326,31-Jan-2014,07-Feb-14,17957,7,SO43840,1,699.1,413.15,699.1,55.93
314,31-Jan-2014,07-Feb-14,13406,8,SO43841,1,"3,578.27","2,171.29","3,578.27",286.26
312,31-Jan-2014,07-Feb-14,16630,9,SO43842,1,"3,578.27","2,171.29","3,578.27",286.26
313,1-Feb-2014,08-Feb-14,22041,6,SO43918,1,"3,578.27","2,171.29","3,578.27",286.26
314,1-Feb-2014,08-Feb-14,12124,7,SO43919,1,"3,578.27","2,171.29","3,578.27",286.26
313,1-Feb-2014,08-Feb-14,28066,4,SO43920,1,"3,578.27","2,171.29","3,578.27",286.26
313,1-Feb-2014,08-Feb-14,16743,9,SO43921,1,"3,578.27","2,171.29","3,578.27",286.26
310,1-Feb-2014,08-Feb-14,13546,8,SO43922,1,"3,578.27","2,171.29","3,578.27",286.26
312,2-Feb-2014,09-Feb-14,28018,4,SO43923,1,"3,578.27","2,171.29","3,578.27",286.26
310,2-Feb-2014,09-Feb-14,12132,7,SO43924,1,"3,578.27","2,171.29","3,578.27",286.26
314,2-Feb-2014,09-Feb-14,16661,9,SO43925,1,"3,578.27","2,171.29","3,578.27",286.26
351,3-Feb-2014,10-Feb-14,11055,9,SO43926,1,"3,374.99","1,898.09","3,374.99",270
314,3-Feb-2014,10-Feb-14,16662,9,SO43927,1,"3,578.27","2,171.29","3,578.27",286.26
313,3-Feb-2014,10-Feb-14,16740,9,SO43928,1,"3,578.27","2,171.29","3,578.27",286.26
322,3-Feb-2014,10-Feb-14,25270,9,SO43929,1,699.1,413.15,699.1,55.93
312,4-Feb-2014,11-Feb-14,28038,4,SO43930,1,"3,578.27","2,171.29","3,578.27",286.26
313,4-Feb-2014,11-Feb-14,13548,8,SO43931,1,"3,578.27","2,171.29","3,578.27",286.26
314,4-Feb-2014,11-Feb-14,16741,9,SO43932,1,"3,578.27","2,171.29","3,578.27",286.26
347,4-Feb-2014,11-Feb-14,11031,9,SO43933,1,"3,399.99","1,912.15","3,399.99",272
346,4-Feb-2014,11-Feb-14,11034,9,SO43934,1,"3,399.99","1,912.15","3,399.99",272
334,5-Feb-2014,12-Feb-14,20048,10,SO43935,2,349.55,413.15,699.1,55.93
311,5-Feb-2014,12-Feb-14,28065,4,SO43936,2,"1,789.14","2,171.29","3,578.27",286.26
312,5-Feb-2014,12-Feb-14,17047,9,SO43937,2,"1,789.14","2,171.29","3,578.27",286.26
310,5-Feb-2014,12-Feb-14,16686,9,SO43938,2,"1,789.14","2,171.29","3,578.27",286.26
312,5-Feb-2014,12-Feb-14,16659,9,SO43939,2,"1,789.14","2,171.29","3,578.27",286.26
336,5-Feb-2014,12-Feb-14,25294,9,SO43940,2,349.55,413.15,699.1,55.93
314,6-Feb-2014,13-Feb-14,13600,10,SO43941,4,894.57,"2,171.29","3,578.27",286.26
310,6-Feb-2014,13-Feb-14,17051,9,SO43942,4,894.57,"2,171.29","3,578.27",286.26
338,6-Feb-2014,13-Feb-14,14565,4,SO43943,4,174.77,413.15,699.1,55.93
344,6-Feb-2014,13-Feb-14,11054,9,SO43944,4,850,"1,912.15","3,399.99",272
310,6-Feb-2014,13-Feb-14,16675,9,SO43945,4,894.57,"2,171.29","3,578.27",286.26
313,6-Feb-2014,13-Feb-14,16687,9,SO43946,4,894.57,"2,171.29","3,578.27",286.26
310,6-Feb-2014,13-Feb-14,16712,9,SO43947,4,894.57,"2,171.29","3,578.27",286.26
345,6-Feb-2014,13-Feb-14,11047,9,SO43948,4,850,"1,912.15","3,399.99",272
310,7-Feb-2014,14-Feb-14,27726,4,SO43949,1,"3,578.27","2,171.29","3,578.27",286.26
311,7-Feb-2014,14-Feb-14,28014,4,SO43950,1,"3,578.27","2,171.29","3,578.27",286.26
311,7-Feb-2014,14-Feb-14,16696,9,SO43951,1,"3,578.27","2,171.29","3,578.27",286.26
312,7-Feb-2014,14-Feb-14,16639,9,SO43952,1,"3,578.27","2,171.29","3,578.27",286.26
342,8-Feb-2014,15-Feb-14,20049,10,SO43953,1,699.1,413.15,699.1,55.93
311,8-Feb-2014,15-Feb-14,13602,10,SO43954,1,"3,578.27","2,171.29","3,578.27",286.26
314,8-Feb-2014,15-Feb-14,13661,10,SO43955,1,"3,578.27","2,171.29","3,578.27",286.26
344,8-Feb-2014,15-Feb-14,11030,9,SO43956,1,"3,399.99","1,912.15","3,399.99",272
313,9-Feb-2014,16-Feb-14,28068,4,SO43957,1,"3,578.27","2,171.29","3,578.27",286.26
312,9-Feb-2014,16-Feb-14,16658,9,SO43958,1,"3,578.27","2,171.29","3,578.27",286.26
348,9-Feb-2014,16-Feb-14,11035,9,SO43959,1,"3,374.99","1,898.09","3,374.99",270
349,9-Feb-2014,16-Feb-14,11046,9,SO43960,1,"3,374.99","1,898.09","3,374.99",270
311,10-Feb-2014,17-Feb-14,28031,4,SO43961,1,"3,578.27","2,171.29","3,578.27",286.26
312,10-Feb-2014,17-Feb-14,28076,4,SO43962,1,"3,578.27","2,171.29","3,578.27",286.26
314,10-Feb-2014,17-Feb-14,16685,9,SO43963,1,"3,578.27","2,171.29","3,578.27",286.26
312,10-Feb-2014,17-Feb-14,16745,9,SO43964,1,"3,578.27","2,171.29","3,578.27",286.26
351,10-Feb-2014,17-Feb-14,11038,9,SO43965,1,"3,374.99","1,898.09","3,374.99",270
347,10-Feb-2014,17-Feb-14,11039,9,SO43966,1,"3,399.99","1,912.15","3,399.99",272
313,11-Feb-2014,18-Feb-14,28040,1,SO43967,1,"3,578.27","2,171.29","3,578.27",286.26
313,11-Feb-2014,18-Feb-14,28067,4,SO43968,1,"3,578.27","2,171.29","3,578.27",286.26
310,11-Feb-2014,18-Feb-14,28071,4,SO43969,1,"3,578.27","2,171.29","3,578.27",286.26
311,11-Feb-2014,18-Feb-14,16684,9,SO43970,1,"3,578.27","2,171.29","3,578.27",286.26
314,11-Feb-2014,18-Feb-14,16657,9,SO43971,1,"3,578.27","2,171.29","3,578.27",286.26
314,12-Feb-2014,19-Feb-14,21939,6,SO43972,2,"1,789.14","2,171.29","3,578.27",286.26
312,12-Feb-2014,19-Feb-14,28039,4,SO43973,2,"1,789.14","2,171.29","3,578.27",286.26
312,12-Feb-2014,19-Feb-14,13687,10,SO43974,2,"1,789.14","2,171.29","3,578.27",286.26
312,12-Feb-2014,19-Feb-14,13540,8,SO43975,2,"1,789.14","2,171.29","3,578.27",286.26
310,12-Feb-2014,19-Feb-14,28063,4,SO43976,2,"1,789.14","2,171.29","3,578.27",286.26
312,12-Feb-2014,19-Feb-14,16703,9,SO43977,2,"1,789.14","2,171.29","3,578.27",286.26
310,13-Feb-2014,20-Feb-14,28030,1,SO43978,4,894.57,"2,171.29","3,578.27",286.26
322,13-Feb-2014,20-Feb-14,14576,1,SO43979,4,174.77,413.15,699.1,55.93
351,13-Feb-2014,20-Feb-14,11048,9,SO43980,4,843.75,"1,898.09","3,374.99",270
314,13-Feb-2014,20-Feb-14,16664,9,SO43981,4,894.57,"2,171.29","3,578.27",286.26
342,13-Feb-2014,20-Feb-14,25271,9,SO43982,4,174.77,413.15,699.1,55.93
314,14-Feb-2014,21-Feb-14,28017,1,SO43983,1,"3,578.27","2,171.29","3,578.27",286.26
311,14-Feb-2014,21-Feb-14,13545,8,SO43984,1,"3,578.27","2,171.29","3,578.27",286.26
313,14-Feb-2014,21-Feb-14,13515,8,SO43985,1,"3,578.27","2,171.29","3,578.27",286.26
310,14-Feb-2014,21-Feb-14,28070,4,SO43986,1,"3,578.27","2,171.29","3,578.27",286.26
310,15-Feb-2014,22-Feb-14,28042,4,SO43987,1,"3,578.27","2,171.29","3,578.27",286.26
344,15-Feb-2014,22-Feb-14,11244,10,SO43988,1,"3,399.99","1,912.15","3,399.99",272
312,15-Feb-2014,22-Feb-14,28083,4,SO43989,1,"3,578.27","2,171.29","3,578.27",286.26
344,15-Feb-2014,22-Feb-14,25872,1,SO43990,1,"3,399.99","1,912.15","3,399.99",272
310,15-Feb-2014,22-Feb-14,16660,9,SO43991,1,"3,578.27","2,171.29","3,578.27",286.26
311,15-Feb-2014,22-Feb-14,16638,9,SO43992,1,"3,578.27","2,171.29","3,578.27",286.26
314,17-Feb-2014,24-Feb-14,16929,9,SO43993,1,"3,578.27","2,171.29","3,578.27",286.26
314,18-Feb-2014,25-Feb-14,27681,4,SO43994,1,"3,578.27","2,171.29","3,578.27",286.26
312,18-Feb-2014,25-Feb-14,21813,6,SO43995,1,"3,578.27","2,171.29","3,578.27",286.26
310,18-Feb-2014,25-Feb-14,27920,4,SO43996,1,"3,578.27","2,171.29","3,578.27",286.26
310,18-Feb-2014,25-Feb-14,28022,4,SO43997,1,"3,578.27","2,171.29","3,578.27",286.26
348,18-Feb-2014,25-Feb-14,11033,9,SO43998,1,"3,374.99","1,898.09","3,374.99",270
311,18-Feb-2014,25-Feb-14,28047,1,SO43999,1,"3,578.27","2,171.29","3,578.27",286.26
311,19-Feb-2014,26-Feb-14,27918,4,SO44000,2,"1,789.14","2,171.29","3,578.27",286.26
313,19-Feb-2014,26-Feb-14,28044,4,SO44001,2,"1,789.14","2,171.29","3,578.27",286.26
336,19-Feb-2014,26-Feb-14,14572,4,SO44002,2,349.55,413.15,699.1,55.93
342,19-Feb-2014,26-Feb-14,19325,8,SO44003,2,349.55,413.15,699.1,55.93
310,19-Feb-2014,26-Feb-14,28061,4,SO44004,2,"1,789.14","2,171.29","3,578.27",286.26
334,19-Feb-2014,26-Feb-14,26629,6,SO44005,2,349.55,413.15,699.1,55.93
310,19-Feb-2014,26-Feb-14,16744,9,SO44006,2,"1,789.14","2,171.29","3,578.27",286.26
320,19-Feb-2014,26-Feb-14,25555,9,SO44007,2,349.55,413.15,699.1,55.93
312,20-Feb-2014,27-Feb-14,27678,1,SO44008,4,894.57,"2,171.29","3,578.27",286.26
314,20-Feb-2014,27-Feb-14,27759,1,SO44009,4,894.57,"2,171.29","3,578.27",286.26
310,20-Feb-2014,27-Feb-14,13680,10,SO44010,4,894.57,"2,171.29","3,578.27",286.26
310,20-Feb-2014,27-Feb-14,13514,8,SO44011,4,894.57,"2,171.29","3,578.27",286.26
349,20-Feb-2014,27-Feb-14,11052,9,SO44012,4,843.75,"1,898.09","3,374.99",270
312,20-Feb-2014,27-Feb-14,16928,9,SO44013,4,894.57,"2,171.29","3,578.27",286.26
313,21-Feb-2014,28-Feb-14,27917,4,SO44014,1,"3,578.27","2,171.29","3,578.27",286.26
311,21-Feb-2014,28-Feb-14,13693,10,SO44015,1,"3,578.27","2,171.29","3,578.27",286.26
350,21-Feb-2014,28-Feb-14,11247,10,SO44016,1,"3,374.99","1,898.09","3,374.99",270
310,21-Feb-2014,28-Feb-14,28078,1,SO44017,1,"3,578.27","2,171.29","3,578.27",286.26
350,21-Feb-2014,28-Feb-14,25876,1,SO44018,1,"3,374.99","1,898.09","3,374.99",270
310,21-Feb-2014,28-Feb-14,16701,9,SO44019,1,"3,578.27","2,171.29","3,578.27",286.26
311,21-Feb-2014,28-Feb-14,16931,9,SO44020,1,"3,578.27","2,171.29","3,578.27",286.26
348,21-Feb-2014,28-Feb-14,11032,9,SO44021,1,"3,374.99","1,898.09","3,374.99",270
313,22-Feb-2014,28-Feb-14,22008,6,SO44022,1,"3,578.27","2,171.29","3,578.27",286.26
349,22-Feb-2014,28-Feb-14,19830,6,SO44023,1,"3,374.99","1,898.09","3,374.99",270
314,22-Feb-2014,28-Feb-14,16663,9,SO44024,1,"3,578.27","2,171.29","3,578.27",286.26
314,22-Feb-2014,28-Feb-14,16708,9,SO44025,1,"3,578.27","2,171.29","3,578.27",286.26
310,22-Feb-2014,28-Feb-14,17045,9,SO44026,1,"3,578.27","2,171.29","3,578.27",286.26
310,23-Feb-2014,28-Feb-14,21921,6,SO44027,1,"3,578.27","2,171.29","3,578.27",286.26
312,23-Feb-2014,28-Feb-14,17048,9,SO44028,1,"3,578.27","2,171.29","3,578.27",286.26
350,23-Feb-2014,28-Feb-14,11050,9,SO44029,1,"3,374.99","1,898.09","3,374.99",270
311,24-Feb-2014,28-Feb-14,12131,7,SO44030,1,"3,578.27","2,171.29","3,578.27",286.26
313,24-Feb-2014,28-Feb-14,13689,10,SO44031,1,"3,578.27","2,171.29","3,578.27",286.26
344,24-Feb-2014,28-Feb-14,11243,10,SO44032,1,"3,399.99","1,912.15","3,399.99",272
314,24-Feb-2014,28-Feb-14,16693,9,SO44033,1,"3,578.27","2,171.29","3,578.27",286.26
313,24-Feb-2014,28-Feb-14,16702,9,SO44034,1,"3,578.27","2,171.29","3,578.27",286.26
